modelVersion,responseVariable,ModelNumber,Type,Coefficient,Value,StdErr,lowerCI,upperCI
ECCC,femaleSurvival,M1,National,Intercept,0.85,0,NA,NA
ECCC,femaleSurvival,M1,National,Precision,0,0,NA,NA
ECCC,recruitment,M3,National,Intercept,44.265,2.942,NA,NA
ECCC,recruitment,M3,National,Total_dist,-0.429,0.061,NA,NA
ECCC,recruitment,M3,National,Precision,0.06,0,NA,NA
ECCC,recruitment,M7,National,Intercept,43.702,3.263,NA,NA
ECCC,recruitment,M7,National,Anthro,-0.432,0.062,NA,NA
ECCC,recruitment,M7,National,Fire,-0.373,0.143,NA,NA
ECCC,recruitment,M8,National,Intercept,43.551,4.496,NA,NA
ECCC,recruitment,M8,National,Total_dist,-0.425,0.066,NA,NA
ECCC,recruitment,M8,National,fire_prop_dist,1.211,5.664,NA,NA
ECCC,recruitment,M9,National,Intercept,42.833,7.216,NA,NA
ECCC,recruitment,M9,National,Total_dist,-0.425,0.065,NA,NA
ECCC,recruitment,M9,National,ln_nn,0.204,0.932,NA,NA
ECCC,recruitment,M12,National,Intercept,45.191,3.931,NA,NA
ECCC,recruitment,M12,National,Total_dist,-0.432,0.062,NA,NA
ECCC,recruitment,M12,National,hqh,-2.425,6.65,NA,NA
Johnson,recruitment,M1,National,Intercept,-1.193,NA,-1.283,-1.103
Johnson,recruitment,M1,National,Anthro,-0.015,NA,-0.018,-0.012
Johnson,recruitment,M2,National,Intercept,-1.473,NA,-1.608,-1.338
Johnson,recruitment,M2,National,Fire,-0.005,NA,-0.01,-0.001
Johnson,recruitment,M3,National,Intercept,-0.956,NA,-1.08,-0.837
Johnson,recruitment,M3,National,Total_dist,-0.015,NA,-0.018,-0.012
Johnson,recruitment,M4,National,Intercept,-1.023,NA,-1.143,-0.903
Johnson,recruitment,M4,National,Anthro,-0.017,NA,-0.02,-0.014
Johnson,recruitment,M4,National,fire_excl_anthro,-0.0081,NA,-0.012,-0.004
Johnson,recruitment,M4,National,Precision,19.86188658,2.22865544,NA,NA
Johnson,recruitment,M5,National,Intercept,-1.012,NA,-1.222,-0.011
Johnson,recruitment,M5,National,Total_dist,-0.014,NA,-0.018,-0.011
Johnson,recruitment,M5,National,fire_ prop_dist,0.072,NA,-0.16,0.304
Johnson,femaleSurvival,M1,National,Intercept,-0.142,NA,-0.158,-0.127
Johnson,femaleSurvival,M1,National,Anthro,-0.0008,NA,-0.001,-0.0005
Johnson,femaleSurvival,M1,National,Precision,63.43723654,8.27273095,NA,NA
Johnson,femaleSurvival,M2,National,Intercept,-0.18,NA,-0.196,-0.164
Johnson,femaleSurvival,M2,National,Fire,0.0004,NA,-0.0001,0.001
Johnson,femaleSurvival,M3,National,Intercept,-0.142,NA,-0.164,-0.119
Johnson,femaleSurvival,M3,National,Total_dist,-0.0006,NA,-0.001,-0.0002
Johnson,femaleSurvival,M4,National,Intercept,-0.148,NA,-0.17,-0.126
Johnson,femaleSurvival,M4,National,Anthro,-0.0008,NA,-0.001,-0.0004
Johnson,femaleSurvival,M4,National,fire_excl_anthro,0.0002,NA,-0.0004,0.0008
Johnson,femaleSurvival,M5,National,Intercept,-0.175,NA,-0.205,-0.145
Johnson,femaleSurvival,M5,National,Total_dist,-0.0004,NA,-0.0008,0
Johnson,femaleSurvival,M5,National,fire_ prop_dist,0.052,NA,0.02,0.083
